,file,param_otsu_classes,param_otsu_range,param_first_kernel_size,param_second_kernel_size,param_contours_mult,param_bh_ks,param_bhm_iter,param_bhm_mult,param_cont_mult,param_ws_ths_factor,param_ws_gl_vecinity,pores,fibers,resin,undefined,sumcheck,Folder
0,Experiment-873,5,"(3, 4)","(5, 5)","(3, 3)",2.5,"(7, 7)",4,60,2.5,0.025,15,8.117611132923265,51.34450115604415,38.734622431618895,1.8032652794136887,100.0,aletasProc
0,Experiment-874,5,"(3, 4)","(5, 5)","(3, 3)",2.5,"(7, 7)",4,60,2.5,0.025,15,21.44469513657271,56.31847709981906,20.56313081769233,1.6736969459158983,100.0,aletasProc
0,Experiment-884,5,"(3, 4)","(5, 5)","(3, 3)",2.5,"(7, 7)",4,60,2.5,0.025,15,19.031431313527897,65.4778497578851,13.853553199842953,1.6371657287440562,100.0,aletasProc
0,Experiment-888,5,"(3, 4)","(5, 5)","(3, 3)",2.5,"(7, 7)",4,60,2.5,0.025,15,19.44018354637824,42.90631486944172,35.25581776466733,2.397683819512728,100.0,aletasProc
0,Experiment-890,5,"(3, 4)","(5, 5)","(3, 3)",2.5,"(7, 7)",4,60,2.5,0.025,15,2.7781610705915853,67.56860941367151,28.827233501982167,0.8259960137547364,100.0,aletasProc
0,Experiment-769--04,5,"(2, 4)","(3, 3)","(3, 3)",2.5,"(7, 7)",5,23,2.5,0.025,15,0.0747359523551033,41.53234874451355,52.77463281480218,5.618282488329172,100.0,tubos-2024Proc
0,Experiment-769--05,5,"(2, 4)","(3, 3)","(3, 3)",2.5,"(7, 7)",5,23,2.5,0.025,15,6.1705947088563455,40.55267717050209,46.07182160913529,7.204906511506276,100.0,tubos-2024Proc
0,Experiment-769--06,5,"(2, 4)","(3, 3)","(3, 3)",2.5,"(7, 7)",5,23,2.5,0.025,15,6.423236626402071,45.81056466302368,42.14188776243888,5.624310948135366,100.0,tubos-2024Proc
0,Experiment-769--07,5,"(2, 4)","(3, 3)","(3, 3)",2.5,"(7, 7)",5,23,2.5,0.025,15,7.958631291733909,44.2594177926246,42.85493630399225,4.927014611649248,100.0,tubos-2024Proc
0,Experiment-769--08,5,"(2, 4)","(3, 3)","(3, 3)",2.5,"(7, 7)",5,23,2.5,0.025,15,8.376502392868886,40.191429510831846,44.16505315456837,7.267014941730903,100.0,tubos-2024Proc
0,Experiment-1126--02,5,"(0, 4)","(5, 5)","(3, 3)",2.5,"(7, 7)",4,60,2.5,0.025,15,4.571921800237575,49.8397482154157,29.27012444908245,16.318205535264273,100.0,tubos-25simil26Proc
0,Experiment-1126--10,5,"(0, 4)","(5, 5)","(3, 3)",2.5,"(7, 7)",4,60,2.5,0.025,15,4.699878761159485,43.1069106139094,29.767552077592857,22.42565854733825,100.0,tubos-25simil26Proc
0,Experiment-1126--12,5,"(0, 4)","(5, 5)","(3, 3)",2.5,"(7, 7)",4,60,2.5,0.025,15,4.269926101873845,40.38972464150611,34.85242368258996,20.487925574030086,100.0,tubos-25simil26Proc
0,Experiment-1126--14,5,"(0, 4)","(5, 5)","(3, 3)",2.5,"(7, 7)",4,60,2.5,0.025,15,11.03645406350768,54.91785538612888,24.265070776630047,9.7806197737334,100.0,tubos-25simil26Proc
0,Experiment-1126--16,5,"(0, 4)","(5, 5)","(3, 3)",2.5,"(7, 7)",4,60,2.5,0.025,15,8.346895301604944,49.0991765790321,35.362280968699416,7.191647150663544,100.0,tubos-25simil26Proc
0,Experiment-820--01,5,"(3, 4)","(31, 31)","(31, 31)",10.0,"(9, 9)",4,60,5.6,0.025,15,0.3401869158878504,74.66509070918087,23.983672347443648,1.0110500274876306,100.0,tubos-2025FinalProc
0,Experiment-820--02,5,"(3, 4)","(31, 31)","(31, 31)",10.0,"(9, 9)",4,60,5.6,0.025,15,1.210952649457456,62.54501946006904,35.40109746537758,0.842930425095925,100.0,tubos-2025FinalProc
0,Experiment-820--08,5,"(3, 4)","(31, 31)","(31, 31)",10.0,"(9, 9)",4,60,5.6,0.025,15,2.1362770543481893,60.82964811246144,35.37010014146792,1.6639746917224554,100.0,tubos-2025FinalProc
0,Experiment-820--12,5,"(3, 4)","(31, 31)","(31, 31)",10.0,"(9, 9)",4,60,5.6,0.025,15,2.131185575552683,64.68131649597295,31.844873112149635,1.3426248163247267,100.0,tubos-2025FinalProc
